codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
3502500135,0071,2024-04-06T07:16:00.000,17.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205526,0068,2024-04-06T11:00:00.000,16.2795,PEDRO PALO,CUNDINAMARCA,TENA,ALTO MAGDALENA,4.69052778,-74.38905556,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T13:56:00.000,25,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0035075090,0068,2024-04-06T19:00:00.000,12.75933,MACHETA,CUNDINAMARCA,MACHETÁ,META,5.08333333,-73.65,TEMPERATURA DEL AIRE A 2 m,°C
0035020300,0068,2024-04-06T06:00:00.000,12.7,GUTIERREZ,CUNDINAMARCA,GUTIÉRREZ,META,4.25391667,-74.00269444,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T12:14:00.000,23.8,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T06:06:00.000,17.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0023065120,0068,2024-04-06T19:00:00.000,17.9,CABRERA LA,CUNDINAMARCA,PACHO,MEDIO MAGDALENA,5.14155556,-74.13936111,TEMPERATURA DEL AIRE A 2 m,°C
0021205516,0068,2024-04-06T16:00:00.000,17.67568,NEGRETE,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.17269444,-73.85177778,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T15:54:00.000,23.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T19:30:00.000,19.7,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T23:38:00.000,17.2,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
